'Page number,'Layout,'Text,'Reading Order,'Confidence score % (Layout)
'1,'Text 122,"'E. dubai@bhnoe-hyundai.com",'125,'60.20507813
'1,'Text 123,"'BRAZIL",'126,'60.74218750
'1,'Text 124,"'[Sao paulo (Sales office]]",'127,'66.65039063
'1,'Text 125,"'YEMEN",'128,'67.23632813
'1,'Text 126,"'CHILE",'129,'62.15820313
'1,'Text 127,"'T. 55-11-5102-3380 E. mrshin@hdel.co.kr",'130,'59.27734375
'1,'Text 128,"'T. 56-2-2635-3394 E. lcid@cyce.cl",'131,'70.41015625
'1,'Text 129,"'COLOMBIA",'132,'74.41406250
'1,'Text 130,"'T. 57-1-560-2990 E. agutierrez@solucionesverticales.com.co",'133,'64.06250000
'1,'Text 131,"'T. 537-699-3412",'134,'68.75000000
'1,'Text 132,"'T. 506-7013-4407 E. cc.elevatec@grupomisol.com",'135,'53.90625000
'1,'Text 133,"'CUBA",'136,'64.89257813
'1,'Text 134,"'HYUNDAI ELEVATOR LUXEN",'137,'59.08203125
'1,'Text 135,"'DOMINICAN REPUBLIC",'138,'76.46484375
'1,'Text 136,"'E. habanajdkim@gmail.com",'139,'62.25585938
'1,'Text 137,"'T. 809-566-7474",'140,'66.01562500
'1,'Text 138,"'E. cesar@eleva.com.do",'141,'61.66992188
'1,'Text 139,"'ECUADOR",'142,'76.90429688
'1,'Text 140,"'T. 593-2254-2831",'143,'53.61328125
'1,'Text 141,"'E. zahid@edgeworksbd.com",'144,'82.66601563
'1,'Text 142,"'E. hyundai@a-i.com.ec",'145,'90.82031250
'1,'Text 143,"'GUATEMALA",'146,'62.98828125
'1,'Text 144,"'T. 502-2388-0000",'147,'64.69726563
'1,'Text 145,"'AZERBAIJAN",'148,'98.82812500
'1,'Text 146,"'E. cd.elevatec@grupomisol.com",'149,'60.30273438
'1,'Text 147,"'PANAMA T. 507-230-3166 E. asucre@elevadoresdelistmo.com",'150,'56.68945313
'1,'Text 148,"'MEXICO",'151,'69.53125000
'1,'Text 149,"'T. 52-55-5663-2019 E. yurich@insertechmx.com",'152,'56.59179688
'1,'Text 150,"'T. 7-717-253-8072",'153,'82.22656250
'1,'Text 151,"'E. dmitriy@hdel.kz",'154,'92.96875000
'1,'Text 152,"'T. 966-530-970-318",'155,'90.86914063
'1,'Text 153,"'T. 7-727-293-8567",'156,'90.96679688
'1,'Text 154,"'E. natalia.ibragimovadtechnolift.kz",'157,'92.52929688
'1,'Text 155,"'PERU",'158,'97.07031250
'1,'Text 156,"'INDIA",'159,'98.29101563
'1,'Text 157,"'VENEZUELA",'160,'94.87304688
'1,'Text 158,"'MAKEDONIA",'161,'98.97460938
'1,'Text 159,"'February 2017",'162,'96.09375000
'1,'Text 160,"'We reserve the right to change designs and specifications for the product development without prior notice.",'163,'97.90039063
'1,'Text 161,"'Premium Gearless",'164,'96.53320313
'1,'Text 162,"'T. 58-212-232-8263 E. ojssimon@gmail.com",'165,'57.56835938
'1,'Text 163,"'T. 51-1-436-1028 E. yhjo7777@gmail.com",'166,'59.91210938
'1,'Text 164,"'HYUNDAI ELEVATOR",'167,'59.57031250
'1,'Text 165,"'LUX",'168,'32.47070313
'1,'Text 166,"'HYUNDAI ELI",'169,'96.63085938
