'Page number,'Key,'Value,'Confidence Score % (Key),'Confidence Score % (Value)
"'1","'PERU","'T. 51-1-436-1028 E. yhjo7777@gmail.com","'73.42929077","'73.42929077"
"'1","'T.","'963-933-234134","'64.09495544","'64.09495544"
"'1","'T.","'996-312-474205","'65.23580170","'65.23580170"
"'1","'E.","'terzian@scs-net.org","'63.51387405","'63.51387405"
"'1","'T.","'91-20-3250-2190","'64.10655212","'64.10655212"
"'1","'E.","'918882@hotmail.com","'67.24049377","'67.24049377"
"'1","'T.","'971-4-294-4475","'58.37661743","'58.37661743"
"'1","'INDONESIA","'62-21-631-8444 E. marketing@superhelindo.co.id","'49.19889450","'49.19889450"
"'1","'E.","'dubai@bhnoe-hyundai.com","'68.16985321","'68.16985321"
"'1","'T.","'ojssimon@gmail.com","'45.81337738","'45.81337738"
"'1","'T.","'","'53.74466705","'53.74466705"
"'1","'E.","'hakan.ek@hmf.com.tr","'51.47957611","'51.47957611"
"'1","'E.","'","'45.93839264","'45.93839264"
"'1","'YEMEN","'T. 967-1-450556 waha62@hotmail.com","'70.99566650","'70.99566650"
"'1","'T.","'48-61-820-8551","'68.12023163","'68.12023163"
"'1","'E.","'","'63.10185242","'63.10185242"
"'1","'E.","'maciej.dziurkiewicz@omilifts.com","'87.39026642","'87.39026642"
